b'#India doesn\\u2019t want another Gujarat 2002.\\nStop #DelhiViolence #DelhiPolice act like a public servant and arrest tho\\u2026 https://t.co/fz4f2aesD3',b'1232037994053369859',b'Bhavna GV',b'gorabhavna',b'World Citizen',"b'Producer- @ilmmovie | Associate Producer- @mantrathemovie | Co-Producer- @MaadathyTheFilm |Entrepreneur|Philanthropist|Writer- Maiya, Vittil'",b'866',b'289',b'17',b'4102',b'3366',b'False',b'False',b'False',b'False',b'2010-08-18 13:57:31'
b'Hahahabhahha.. \\u0907\\u0938 \\u0924\\u0938\\u094d\\u0935\\u0940\\u0930 \\u0938\\u0947 \\u092d\\u093e\\u0908\\u091c\\u093e\\u0928 \\u092c\\u093f\\u091a\\u0932\\u093f\\u0924 \\u0939\\u094b \\u0930\\u0939\\u0947 \\u0939\\u0948 \\u092d\\u093e\\u0908\\U0001f602 70 \\u0926\\u093f\\u0928 \\u0938\\u0921\\u093c\\u0915 \\u092a\\u0930 \\u092c\\u0947\\u0917\\u092e\\u094b \\u0915\\u094b \\u092c\\u093f\\u0920\\u093e\\u0928\\u0947 \\u0938\\u0947 \\u0915\\u0941\\u091b \\u0928 \\u0939\\u0941\\u0906 \\u0924\\u094b \\u0926\\u0941\\u092c\\u093e\\u0930\\u093e \\u0906 \\u0917\\u090f\\u2026 https://t.co/3SmYmvc8Vd',b'1232037478472847363',b'\\u039c\\u03b1\\u03c5\\u0280\\u03c8\\u03b1\\U0001f6a9',b'satrohanmaurya',b'humanity',b'INDIAN\\U0001f1ee\\U0001f1f3 \\nFarmer | \\u091c\\u092f \\u092e\\u093e\\u0924\\u093e\\U0001f531 \\u0915\\u0947 \\u092d\\u0915\\u094d\\u0924 \\U0001f6d0\\u0939\\u0948| memes maker @satrohanmaurya \\U0001f602',b'358',b'347',b'1',b'8107',b'8678',b'False',b'False',b'True',b'False',b'2013-11-12 18:59:04'
b'#DelhiPolice\\n#bhaeehazirhai\\n#GoBackTrump\\n#2nationtheory\\n#DANGAY_MATRAM https://t.co/mvgF3SKXHS',b'1232037474010091525',b'Manan Abrar',b'abrar_manan',b'',b'',b'26',b'18',b'0',b'39',b'5154',b'False',b'False',b'True',b'False',b'2019-08-15 17:24:41'
"b'@atti_cus @anuragkashyap72 No human should b witnessing such a site, let alone bearing it. \\n\\n#DelhiPolice has compl\\u2026 https://t.co/arIin6xTKS'",b'1232037469027291138',b'A Motley Mind',b'Motley_Mind',b'',"b'Seeing colours in life, and it\\u2019s shenanigans, and everything in between.'",b'20',b'202',b'0',b'519',b'1360',b'False',b'False',b'True',b'False',b'2010-09-01 21:52:07'
b'Actually they love violence and doing \\u2018tod fod\\u2019 but they were not getting any chance by now as #DelhiPolice had bec\\u2026 https://t.co/LMvzVFoFOu',b'1232037439675478022',b'God save the Earth',b'Godsavethearth',b'India',b'',b'16',b'231',b'0',b'725',b'2815',b'False',b'False',b'True',b'False',b'2011-12-30 18:32:36'
"b'\\u091c\\u0932\\u0924\\u0947 \\u0918\\u0930, \\u092d\\u093e\\u0917\\u0924\\u0947 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u0914\\u0930 \\u0932\\u093e\\u091a\\u093e\\u0930 \\u092a\\u094d\\u0930\\u0936\\u093e\\u0938\\u0928 \\u0926\\u0947\\u0916 \\u0932\\u094b,\\n\\u091c\\u093f\\u0938\\u0928\\u0947 \\u0915\\u0936\\u094d\\u092e\\u0940\\u0930 \\u0928\\u093e \\u0926\\u0947\\u0916\\u093e \\u0939\\u094b \\n\\u0906\\u091c #\\u091c\\u093e\\u092b\\u0930\\u093e\\u092c\\u093e\\u0926 \\u0926\\u0947\\u0916 \\u0932\\u094b \\U0001f914\\n#DelhiPolice #Delhi\\u2026 https://t.co/tLanSh2Ruq'",b'1232037416413712384',b'Chandra Prakash',b'Chandra955454',"b'Lucknow, India'","b'~Half Robinhood~\\n\\nIf you always do what you\\u2019ve always done, you\\u2019ll always get what you\\u2019ve always got.\\n \\u0927\\u0930\\u094d\\u092e\\u094b \\u0930\\u0915\\u094d\\u0937\\u0924\\u093f \\u0930\\u0915\\u094d\\u0937\\u093f\\u0924\\u0903\\n              *SO FAR SO GOOD*'",b'249',b'230',b'0',b'3037',b'4123',b'False',b'False',b'True',b'False',b'2017-10-23 03:33:05'
b'@Kritika_Kamra Konsi class tak padhi ho? \\nElementry bhi gayi ho toh ek baar madam CAA khud padh lena... \\U0001f917\\U0001f917\\u2026 https://t.co/wC1ejkYNsR',b'1232037389016670208',b'Aman \\U0001f1ee\\U0001f1f3',b'amanporwal75',"b'Rajasthan, India'",b'always for the right.\\nInstagram - @amanporwal75 \\U0001f642',b'59',b'270',b'0',b'1718',b'4683',b'False',b'False',b'True',b'False',b'2015-12-18 06:46:52'
b'I remember some guys got injuries and they were given 5Lacs each from Delhi government.\\n\\nToday a constable martraid\\u2026 https://t.co/TJkI0G25Nf',b'1232037376698077185',b'Socrates',b'lazy_socrate',b'India',b'Wonder is the beginning of wisdom!',b'185',b'140',b'0',b'839',b'855',b'False',b'False',b'True',b'False',b'2019-07-18 19:31:38'
b'European countries are ending their conflicts and living as human beings. Asian countries are still living under th\\u2026 https://t.co/ADyMNBn3dl',b'1232037369911611396',b'A\\u0641zal \\U0001f1f5\\U0001f1f0',b'realafzalashraf',"b'Lahore, Pakistan'",b'\\u200f\\u06a9\\u06cc \\u062c\\u0627\\u0646\\u0627 \\u0645\\u06cc\\u06ba \\u06a9\\u0648\\u0646',b'103',b'326',b'0',b'1057',b'495',b'False',b'False',b'False',b'False',b'2016-02-08 17:57:49'
b'Aj Yaad Tum boht aye ho\\U0001f60a\\n#DelhiBurning\\n#DelhiPolice \\n#DelhiViolence \\n#NamasteyTrump https://t.co/iKoMjsceJ1',b'1232037329528872961',b'Union',b'Union73937155',b'Jupiter',b'United we stand.',b'0',b'30',b'0',b'3',b'0',b'False',b'False',b'True',b'False',b'2020-02-24 20:08:25'
"b'@msisodia You supported #saheenbaghprotest ,you spread false Video against #DelhiPolice .\\n\\n\\u092f\\u093e\\u0926 \\u0939\\u0948 \\u0915\\u0941\\u091b??  \\u0917\\u0926\\u094d\\u0926\\u093e\\u0930 \\u0915\\u2026 https://t.co/loXP8kNz7V'",b'1232037323233251329',b'Amit Kumar Yadav \\U0001f343',b'AMITKUM58195200',"b'Bihar Sharif, India'",b'',b'55',b'202',b'0',b'1065',b'1593',b'False',b'False',b'True',b'False',b'2018-06-04 00:32:00'
"b'\\u0938\\u092c \\u0938\\u0941\\u0928\\u093e \\u091c\\u093e\\u092f\\u0947\\u0917\\u093e, \\u0938\\u092c \\u0926\\u0947\\u0916\\u093e \\u091c\\u093e\\u092f\\u0947\\u0917\\u093e, \\u092f\\u0947 \\u0938\\u092c \\u092f\\u093e\\u0926 \\u0930\\u0916\\u093e \\u091c\\u093e\\u092f\\u0947\\u0917\\u093e, \\u092c\\u093f\\u0932\\u094d\\u0915\\u0941\\u0932 \\u092f\\u093e\\u0926 \\u0930\\u0916\\u093e \\u091c\\u093e\\u092f\\u0947\\u0917\\u093e\\u0964\\n#DelhiPoliceWithBhagwaTerror\\u2026 https://t.co/LHOEn1rltY'",b'1232037247630757888',b'Azam',b'DeshKaJwan',b'',"b'We Reject CAA, NPR, NRC'",b'507',b'200',b'0',b'7397',b'5420',b'False',b'False',b'True',b'False',b'2017-06-19 19:40:35'
b'\\u091c\\u093e\\u0915\\u0930 \\u0922\\u0942\\u0901\\u0922\\u094b \\n#DelhiPolice #DelhiViolence #ArrestKapilMishra #WhyBJPBurningDelhi #',b'1232037200428228609',b'Praveen Meena',b'tribal_praveen',"b'Banswara, India'",b'#Aboriginal_of_India//\\U0001f33f\\U0001f30d\\n#Youth_Voice_of_Tribal_Issue//\\n \\u0935\\u093f\\u0926\\u094d\\u0930\\u094b\\u0939\\u0940 \\u2764\\ufe0f',b'569',b'660',b'0',b'1162',b'3058',b'False',b'False',b'True',b'False',b'2019-08-06 09:50:18'
"b'\\u092a\\u0942\\u0930\\u093e \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u091c\\u0932 \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0935\\u091c\\u0939 \\u090f\\u0915 \\u0939\\u0948 \\n\\n\\u092e\\u0942\\u0930\\u094d\\u0916 \\u0939\\u093f\\u0902\\u0926\\u0941\\u0913 \\u0915\\u093e \\u092b\\u094d\\u0930\\u0940 \\u0915\\u0947 \\u091a\\u0915\\u094d\\u0915\\u0930 \\u092e\\u0947\\u0902 \\u0906\\u092a \\u0915\\u094b \\u0935\\u094b\\u091f \\u0926\\u0947\\u0928\\u093e , \\u0905\\u092c \\u0932\\u094b \\u092b\\u094d\\u0930\\u0940 \\u0915\\u093e \\u092e\\u091c\\u093c\\u093e \\u0905\\u092a\\u0928\\u093e \\u0918\\u0930 \\u091c\\u0932\\u093e\\u2026 https://t.co/dYmbCcl0Zr'",b'1232037193960476673',b'Chandra Prakash',b'Chandra955454',"b'Lucknow, India'","b'~Half Robinhood~\\n\\nIf you always do what you\\u2019ve always done, you\\u2019ll always get what you\\u2019ve always got.\\n \\u0927\\u0930\\u094d\\u092e\\u094b \\u0930\\u0915\\u094d\\u0937\\u0924\\u093f \\u0930\\u0915\\u094d\\u0937\\u093f\\u0924\\u0903\\n              *SO FAR SO GOOD*'",b'249',b'230',b'0',b'3037',b'4123',b'False',b'False',b'True',b'False',b'2017-10-23 03:33:05'
b'#KobeFarewell #RIPGIANNA #TheWalkingDead #TradeCentre #DelhiPolice #Carnaval2020 https://t.co/WnLFVmMmy1',b'1232037178760450049',"b""\\U0001f397\\ufe0fSeth (Jayden's dad) Allen\\U0001f397\\ufe0f""",b'TeamJayden2020',b'Jaydens-world',b'Child Advocate/Single dad \\U0001f499\\nFounder of \\u2122\\ufe0fSober Soldiers Elite\\u2122\\ufe0f\\U0001f192\\n#TeamJayden2020 #Onemaddad\\nTune in to iHeartRadio and hear Re. Al Sharpton discussing this!!',b'1004',b'1440',b'1',b'5759',b'6050',b'False',b'False',b'True',b'False',b'2019-11-08 20:20:42'
b'@anuragkashyap72 @BJP4India Who is responsible for #DelhiBurning ?\\n\\n@warispathan \\n@KapilMishra_IND\\u2026 https://t.co/2AWYUbWKfQ',b'1232037147110182913',b'Anupam S Shlok',b'anupamism',b'Dying Planet',"b""A Nihilist , 'Gareebon ka Philosopher'.. Detailed Bio \\u0915\\u0940 \\u0924\\u0932\\u093e\\u0936 \\u092e\\u0947\\u0902 \\u0939\\u0942\\u0901...""",b'219',b'71',b'3',b'253',b'40',b'False',b'False',b'False',b'False',b'2009-12-03 07:43:14'
b'@sakshijoshii @abhisar_sharma @AamAadmiParty Same on #DelhiPolice',b'1232037141670023168',b'syed abbas haider kazmi',b'syedabb73183931',b'',b'Human being',b'0',b'46',b'0',b'2',b'1',b'False',b'False',b'True',b'False',b'2020-02-24 19:15:06'
b'4 \\u0939\\u093f\\u0902\\u0926\\u0941\\u0913\\u0902 \\u0915\\u094b \\u0935 \\u090f\\u0915 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0935\\u093e\\u0932\\u0947 \\u0915\\u094b \\u092e\\u093e\\u0930 \\u0915\\u0930 \\u091c\\u092c \\u092a\\u0940\\u091f\\u0928\\u0947 \\u0915\\u0940 \\u0928\\u094c\\u092c\\u0924 \\u0906\\u0908 \\u0924\\u094b \\u0907\\u0928 \\u091c\\u093f\\u0939\\u093e\\u0926\\u093f\\u092f\\u094b\\u0902 \\u092e\\u0941\\u0938\\u0932\\u092e\\u093e\\u0928\\u094b\\u0902 \\u0915\\u094b \\u0907\\u0902\\u0938\\u093e\\u0928\\u093f\\u092f\\u0924 \\u092f\\u093e\\u0926 \\u0906\\u092f\\u0940\\u0964\\n\\u091c\\u093f\\u0938 \\u0924\\u0930\\u0939 \\u092d\\u2026 https://t.co/KxauQygo9S',b'1232037129850585095',b'Abhishek Raj \\U0001f1ee\\U0001f1f3',b'Abhshkraj',b'',b'\\U0001f1ee\\U0001f1f3\\n\\U0001f4af\\U0001f504',b'462',b'517',b'0',b'448',b'729',b'False',b'False',b'True',b'False',b'2016-02-05 15:40:07'
b'\\u0906\\u091c \\u0926\\u0947\\u0936 \\u092e\\u0930\\u0923\\u093e\\u091a\\u094d\\u092f\\u093e \\u0926\\u093e\\u0930\\u093e\\u0924 \\u0909\\u092d\\u093e \\u0930\\u093e\\u0939\\u0932\\u0947\\u0932\\u093e \\u092c\\u0918\\u093f\\u0924\\u0932\\u093e\\u0964 \\n#DelhiPolice #DelhiViolence #WhyBJPBurningDelhi #ArrestKapilMishra #Arrest_Kapil_Mishra',b'1232037109990592512',b'ImDrSaurav',b'drdande_saurav',"b'Amravati, Maharashtra , India'",b'Medical Student. \\nViews are totally personal !!!',b'34',b'265',b'0',b'430',b'621',b'False',b'False',b'True',b'False',b'2018-06-22 07:01:23'
"b'@antonioguterres @UNGeneva @UN_HRC @UNHumanRights @UN India is burning,Muslims are being killed by the government.\\u2026 https://t.co/wfefYXI8yH'",b'1232037109013204992',b'Bhagath Singh',b'followerBSingh',b'',"b""Tum 'Kaala' Kamal Likho, Hum 'Laal' Gulab Likhenge , Tum Zameen Pe 'Zulm' Likho, Hum Aasman Pe 'Inquilab' Likhenge.""",b'63',b'205',b'0',b'4663',b'15591',b'False',b'False',b'True',b'False',b'2019-12-15 18:42:07'
