b'\\u201cI\\u2019m not Muslim but fuck the police\\u201d \\U0001f92f cause they don\\u2019t eat pork... ! @PDE_YOUNGNUDY',b'1232094443131559936',b'CARDO \\u24cb',b'RicardoAlan_',b'trap',"b'tx, #txst22'",b'541',b'252',b'4',b'2010',b'4050',b'False',b'False',b'True',b'False',b'2014-02-21 15:31:24'
"b'Tiada seorg muslim tertusuk duri/lebih dari itu, kecuali Allah mncatat baginya kebaikan&amp;menghapus darinya dosa.(HR.Bukhari)'",b'1232093764543320064',b'#saveaqidah',b'aqidahku',b'Bumi Allah',"b'Kitab Suci Ummat Islam itu Al-Quran, satu-satunya kitab / buku / test yang bisa dihafal oleh semua suku bangsa di dunia. Follow untuk cari tahu ttg Islam lain'",b'582',b'29',b'4',b'127457',b'1',b'False',b'False',b'False',b'False',b'2013-06-26 06:45:34'
"b""D.H.S. whistleblower of Obama's collusion with Muslim Brothrhood, Phil H... https://t.co/nUOGAAw9go via @YouTube God Bless Phil""",b'1232093678228754433',b'Patriotpatty',b'Azpattyjohnson',b'USA',b'I love Rush #WWG1WGA #2A#1A #MAGA #KAG Patriot live and let live',b'846',b'1592',b'0',b'4846',b'11480',b'False',b'False',b'False',b'False',b'2017-01-07 03:55:46'
b'@Mara_OReilly Well I believe the Airfirce is now allowing camouflage towels for Muslim enlisted instead of traditio\\u2026 https://t.co/WAKb5bz0t7',b'1232093668376535041',b'timdoc',b'timdoc5',b'',"b'God, Country, Family, Deplorable, Despicable, MAGA, KAG, Trump2020, USN, Devildoc, USMC, IFB'",b'4621',b'5037',b'1',b'2291',b'123',b'False',b'False',b'True',b'False',b'2019-11-03 16:07:56'
"b'The only South Asian Muslim narratives literary publishing loses their mind over always entail a terrorist plot, or\\u2026 https://t.co/59QT1kCIuA'",b'1232093665641758720',b'\\u2728Tana\\xefs \\U0001f405',b'hiwildflower',"b'Brooklyn, NY'","b'FKA Tanwi Nandini Islam \\nAUTHOR of BRIGHT LINES @penguinbooks \\nIN SENSORIUM, Essays @hmhbooks\\nHI WILDFLOWER, beauty & scent\\nSTELLAR SMOKE, novel-in-progress'",b'4799',b'2390',b'25',b'16302',b'25065',b'False',b'False',b'False',b'False',b'2016-09-09 02:38:18'
b'@yazahra07561888 \\u062e\\u0648\\u0627\\u0646\\u0646\\u062f\\u0647 \\u0648 \\u067e\\u06cc\\u0627\\u0646\\u06cc\\u0633\\u062a \\u0628\\u0634\\u0645 \\u0628\\u0639\\u062f \\u0628\\u062a\\u0648\\u0646\\u0645 \\u0645\\u062b\\u0644 \\u0645\\u0627\\u06cc\\u06a9\\u0644 \\u062c\\u06a9\\u0633\\u0648\\u0646 \\u0628\\u0631\\u0642\\u0635\\u0645 \\U0001f611\\U0001f611\\U0001f611\\U0001f926\\U0001f926\\U0001f926',b'1232093660407312384',b'Muslim Girl',b'Muslim_Girl313',b'',b'\\u200f\\u200f\\u06cc\\u0647 \\u062f\\u0647\\u0647 \\u0647\\u0634\\u062a\\u0627\\u062f\\u06cc \\u062c\\u0630\\u0627\\u0628\\U0001f609\\n\\u06cc\\u0647 \\u0622\\u062f\\u0645 \\u0645\\u0639\\u0645\\u0648\\u0644\\u06cc\\u060c \\u0646\\u0647 \\u0642\\u062f\\u06cc\\u0633\\u0647 \\u0627\\u0645 \\u0646\\u0647 \\u062a\\u0628\\u0647\\u06a9\\u0627\\u0631\\u060c \\u0647\\u0645 \\u06a9\\u0627\\u0631 \\u062e\\u0648\\u0628 \\u0645\\u06cc\\u06a9\\u0646\\u0645 \\u0647\\u0645\\u0645 \\u0645\\u0645\\u06a9\\u0646\\u0647 \\u0646\\u0627 \\u0622\\u06af\\u0627\\u0647\\u0627\\u0646\\u0647 \\u06a9\\u0627\\u0631 \\u0628\\u062f \\u06a9\\u0646\\u0645\\U0001f607\\nMuslim girl from Iran \\U0001f60a\\n\\nFallow=back \\U0001f609',b'162',b'208',b'1',b'161',b'1728',b'False',b'False',b'True',b'False',b'2020-01-13 18:57:50'
"b'@BJP4Karnataka are you officially acknowledging your lust for blood and Power? Because,in this @Reuters picture, a\\u2026 https://t.co/Z1kpwMqDGe'",b'1232093646360469509',"b'Maheswar Satpathy,MA(DU),MSc(UCL),PhD(UNSW)FIAHP'",b'MaheswarSatpath',"b'London, England'","b'#Philosopher,Global Humanist #MedScientist,CEO @worldaidsforum, #Researcher @ucl #HumanRights #LGBTQI #GlobalHealth #Psychology #Politics #Gender #Justice #SDGs'",b'1005',b'1003',b'11',b'13394',b'40619',b'False',b'False',b'False',b'False',b'2011-04-10 12:00:15'
b'@ApeGoblin @JBWolfsthal @IlhanMN Lol... she is a professional victim who refuses to respect the country that took h\\u2026 https://t.co/mkeiNm0Sql',b'1232093614190333952',b'Brady',b'BradyEng1',b'Up Nort',"b'Navy and Army Vet, Engineer... Father and Patriot. Si vis pacem para bellum.'",b'87',b'53',b'2',b'2852',b'19252',b'False',b'False',b'True',b'False',b'2015-03-28 21:49:51'
"b""@Loizbeauty1 Can't be Jerry though. He's not muslim""",b'1232093595399839745',b'Gold dust\\U0001f1f3\\U0001f1ec\\U0001f1fa\\U0001f1f8',b'Zahava___',b'United States',b'I am Gold!\\nI am Light!\\nI am Woman!',b'83',b'75',b'0',b'3486',b'6289',b'False',b'False',b'True',b'False',b'2018-05-06 05:30:34'
"b""@RachelPopp7 I mean they successfully painted Obama as a Muslim socialist who wasn't born in America.\\n\\nThey'll call\\u2026 https://t.co/peDlPFA8Jm""",b'1232093584620285953',b'Chris H \\U0001f3f3\\ufe0f\\u200d\\U0001f308',b'Chris_H_Politic',b'',b'Political activist. LGBT. Progressive voter. He / him. U of Chicago MBA. Ready to vote Trump out (or lock  him up) \\U0001f3f3\\ufe0f\\u200d\\U0001f308\\U0001f339 #MedicareForAll #BernieOrWarren2020',b'3491',b'4995',b'6',b'12118',b'93236',b'False',b'False',b'True',b'False',b'2019-06-04 04:52:28'
"b""At least 4 killed during 'anti-Muslim' citizenship law protests in India's capital New Delhi #NRC_CAA_NPR_Protest https://t.co/l8aCKuUbcQ""",b'1232093578555461633',b'Mujeeb Muju',b'MujeebMuju5',b'',b'..',b'1',b'15',b'0',b'1',b'2',b'False',b'False',b'True',b'False',b'2019-12-26 14:02:07'
"b""To all leftist radical Islamic naxal rants abt CAA,it's been nearly 2 mnths since CAA became law.Can they show a si\\u2026 https://t.co/8yjIpQXFLQ""",b'1232093558716256259',b'Venkat R\\U0001f1ee\\U0001f1f3',b'RamsamVenkat',b'',b'',b'335',b'174',b'0',b'13369',b'2871',b'False',b'False',b'True',b'False',b'2016-03-03 10:19:56'
"b""@SaadhoRe @ganeshmantra He is a leftists scum and is part of the plan. With 99% of muslims votes, he cud've shut do\\u2026 https://t.co/5Y5aedlAg3""",b'1232093554249523201',b'Harry Arora',b'harryintoronto',"b'Toronto, Ontario'","b""CAA is uniting people of India n it'll bring a new stronger India.\\nControl your spiritual destiny confidently and fearlessly because Shri Krishna is with us.""",b'92',b'328',b'2',b'10153',b'2453',b'False',b'False',b'False',b'False',b'2011-06-23 23:56:22'
b'@rexglacer hes a fkng covert operator. I would trust him to walk my dog. mississauga is a cess pool of muslim voter\\u2026 https://t.co/3N6QjkJJqP',b'1232093536218206240',b'Synergy',b'more2mm',b'Canada',b'\\U0001f1e8\\U0001f1e6Canadian born & raised. mother to sons. freedom loving.',b'296',b'568',b'7',b'6829',b'19466',b'False',b'False',b'True',b'False',b'2017-02-09 22:44:15'
"b'Everyday hijab this hijab that, will Muslim twitter ever stfu about this. IM TIREDD of this crap https://t.co/MbnxzydtId'",b'1232093512251912197',b'\\u0627\\u0645\\u064a\\u0646\\u0629\\U0001f1ea\\U0001f1ec',b'AminaaHamoud',b'',b'\\U0001f1ea\\U0001f1ec 23. University of Toronto\\U0001f393',b'398',b'282',b'5',b'13169',b'86928',b'False',b'False',b'False',b'False',b'2014-10-23 18:23:03'
"b'@TalbertSwan I remember after 911 a lot of Brown folks that were called sand niggers. Disrespected, cabbies being b\\u2026 https://t.co/iaUYEIXJcI'",b'1232093494128320513',b'Say What Now?',b'Mona54376546',b'United States',b'Don\\u2019t Give A Damn About Your Political Affiliation. I Care About The Constitution and What Really Makes America Great!',b'106',b'338',b'0',b'20030',b'11142',b'False',b'False',b'True',b'False',b'2018-03-30 02:56:14'
b'@wdunlap @tedcruz @Jaysock2 No. I lived in Oman for 6 years and all religions have freedom of worship. Surprisingly\\u2026 https://t.co/hg4ReNyljO',b'1232093490408022021',b'Kay',b'kaytkaytkayt',b'',b'',b'248',b'788',b'0',b'4874',b'42927',b'False',b'False',b'True',b'False',b'2009-03-19 22:26:48'
"b""The only way we'll have a Nigeria we dream of is if we stick together irrespective of tribe or religion and fight t\\u2026 https://t.co/XhTNNGCRdI""",b'1232093468169768960',b'GraceMan\\xae\\U0001f373',b'DaniyelBassey',b'Nigeria',b'Akwa Ibom Son|\\nTravel Agent|\\nStudy Abroad|\\nVisa consultant|\\nFlight Tickets|\\nHR',b'752',b'635',b'2',b'4070',b'1074',b'False',b'False',b'False',b'False',b'2009-09-24 10:58:23'
b'Fact check: Bloomberg falsely claims NYPD only entered mosques when invited in https://t.co/SSqDvxm0s3 #SmartNews',b'1232093460930285568',b'LIfelong Democrat and Proud',b'StreatorHenry',b'',b'Small Town Person with big ideas',b'655',b'1553',b'1',b'14191',b'13708',b'False',b'False',b'True',b'False',b'2019-10-18 12:09:11'
b'They eat and dine together.They live in protected mansions. Safe and secured. \\nDear Nigerians an average Muslim or\\u2026 https://t.co/dspaOzgDFA',b'1232093457977659392',b'GraceMan\\xae\\U0001f373',b'DaniyelBassey',b'Nigeria',b'Akwa Ibom Son|\\nTravel Agent|\\nStudy Abroad|\\nVisa consultant|\\nFlight Tickets|\\nHR',b'752',b'635',b'2',b'4070',b'1074',b'False',b'False',b'False',b'False',b'2009-09-24 10:58:23'
"b'@imranshaik @Chinmay_2001 @yehlog Lastly, the phrase \\u201cwilling maiden\\u201d implies consenting acts. I can\\u2019t really expla\\u2026 https://t.co/Kq67DZHLxq'",b'1232093457461628928',b'GS',b'GS05445168',b'',"b'The lips of the righteous feed many, but fools die for lack of judgment'",b'204',b'64',b'0',b'1008',b'680',b'False',b'False',b'True',b'False',b'2019-10-28 00:11:06'
