b'\\u0915\\u092a\\u0921\\u093c\\u094b\\u0902 \\u0938\\u0947 \\u0928\\u0939\\u0940\\u0902 \\u092a\\u0939\\u091a\\u093e\\u0928 \\u0938\\u0915\\u0924\\u0947\\n\\u0928\\u093e\\u0930\\u094b\\u0902 \\u0938\\u0947 \\u092a\\u0939\\u091a\\u093e\\u0928\\u094b\\n\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u092e\\u0947\\u0902 \\u0906\\u0917 \\u0932\\u0917\\u093e\\u0928\\u0947 \\u0935\\u093e\\u0932\\u094b\\u0902 \\u0915\\u094b \\U0001f621\\U0001f621  @ShayarImran #DelhiBurning https://t.co/iKtrAoll8J',b'1232131062332973056',b'SHAIKH MERAZ UDDIN',b'OfficialMeraz',"b'Kunda, India'",b'student',b'115',b'197',b'0',b'348',b'2329',b'False',b'False',b'True',b'False',b'2017-06-18 23:28:57'
b'@BnBagul #Shoot_the_muslim_terrorists\\n\\n#Shoot_the_muslim_terrorists \\n\\n#Shoot_the_muslim_terrorists\\u2026 https://t.co/7aslS13bOr',b'1232130970909921280',b'Dinesh Sagar',b'TheDineshSagar',b'',b'Very much',b'12',b'18',b'0',b'324',b'317',b'False',b'False',b'True',b'False',b'2020-01-29 15:41:31'
b'\\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0935\\u093e\\u0932\\u094b \\u0913\\u0930 \\u0915\\u0941\\u091b \\u092b\\u094d\\u0930\\u0940 \\u092e\\u0947\\u0902 \\u091a\\u093e\\u0939\\u093f\\u090f \\u0939\\u0930\\u093e\\u092e\\u093f\\u092f\\u094b\\u0902 \\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u0940 \\u090f\\u0915 \\u0917\\u0932\\u0924\\u0940 \\u092a\\u0942\\u0930\\u0940 \\u0926\\u093f\\u0932\\u094d\\u0932\\u0940 \\u0915\\u094b \\u0932\\u0947 \\u0921\\u0942\\u092c\\u0947\\u0917\\u0940 \\n#DelhiPolice \\n#Bhajanpura\\u2026 https://t.co/nBdGSBrqaN',b'1232130970326794245',b'\\u0905\\u0935\\u0924\\u093e\\u0930 \\u0938\\u093f\\u0902\\u0939 \\u0930\\u093e\\u0920\\u094c\\u0921\\u093c',b'av_rathor',b'\\u0939\\u093f\\u0928\\u094d\\u0926\\u0941\\u0938\\u094d\\u0925\\u093e\\u0928',"b""#Self_Employed \\n#Big_Fan_Of_The_Great_Indian_Armed_Force's\\n#proud_to_be_Indian \\n#Inqulab_Zindabade \\U0001f64f\\n\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0939\\u093f\\u0924 \\u0938\\u0930\\u094d\\u0935\\u094b\\u092a\\u0930\\u093f\\n\\u0926\\u0947\\u0936 \\u0913\\u0930 \\u0926\\u0947\\u0936 \\u092d\\u0915\\u094d\\u0924\\u093f \\u0938\\u0947 \\u092c\\u0922\\u093c \\u0915\\u0947 \\u0915\\u0941\\u091b \\u0928\\u0939\\u0940\\u0902""",b'127',b'329',b'0',b'2193',b'3265',b'False',b'False',b'True',b'False',b'2018-03-09 06:02:16'
b'@chitraaum \\u092f\\u0947 \\u0915\\u0948\\u0938\\u093e \\u0915\\u093e\\u0928\\u0942\\u0928 \\u0939\\u0948 \\u091c\\u0939\\u093e\\u0901 \\u090f\\u0915 \\u0926\\u0902\\u0917\\u093e\\u0908 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u0947 \\u0938\\u093e\\u092e\\u0928\\u0947 \\u092c\\u0902\\u0926\\u0942\\u0915 \\u0924\\u093e\\u0928\\u0947 \\u0916\\u0921\\u093c\\u0940 \\u0939\\u094b \\u091c\\u093e\\u0924\\u0940 \\u0939\\u0948 \\u0914\\u0930 \\u092a\\u0941\\u0932\\u093f\\u0938 \\u0915\\u094b \\u0938\\u093f\\u0930\\u094d\\u092b \\u092c\\u093e\\u0924\\u094b \\u0938\\u0947 \\u0926\\u0902\\u0917\\u093e\\u2026 https://t.co/GuCFtal1O3',b'1232130964123316224',b'\\u0938\\u0902\\u091c\\u092f',b'sanjaykoiri',b'',b'',b'13',b'59',b'0',b'1202',b'891',b'False',b'False',b'False',b'False',b'2011-11-07 11:06:33'
b'\\u0b95\\u0bb2\\u0bb5\\u0bb0\\u0ba4\\u0bcd\\u0ba4\\u0bbf\\u0ba9\\u0bcd\\u0baa\\u0bcb\\u0ba4\\u0bc1 \\u0b95\\u0bc8\\u0baf\\u0bbf\\u0bb2\\u0bcd \\u0ba4\\u0bc1\\u0baa\\u0bcd\\u0baa\\u0bbe\\u0b95\\u0bcd\\u0b95\\u0bbf\\u0baf\\u0bc8 \\u0bb5\\u0bc8\\u0ba4\\u0bcd\\u0ba4\\u0bc1 \\u0baa\\u0bcb\\u0bb2\\u0bc0\\u0b9a\\u0bc8 \\u0bae\\u0bbf\\u0bb0\\u0b9f\\u0bcd\\u0b9f\\u0bbf\\u0baf \\u0bb7\\u0bbe\\u0bb0\\u0bc2\\u0b95\\u0bcd \\u0b8e\\u0ba9\\u0bcd\\u0baa\\u0bb5\\u0bb0\\u0bc8 \\u0baa\\u0bbf\\u0b9f\\u0bbf\\u0ba4\\u0bcd\\u0ba4\\u0bc1 \\u0bb5\\u0bbf\\u0b9a\\u0bbe\\u0bb0\\u0ba3\\u0bc8 #DelhiBurning\\u2026 https://t.co/ql4HCnQgFo',b'1232130952953860096',b'JayaPlus',b'jayapluschannel',b'Chennai',"b""We deliver News and Informations sticking to our motto, 'News as it should be'... Door No 48, Jawaharlal Nehru Salai, Ekkaduthangal; Watsapp : 7358378902""",b'8205',b'2',b'15',b'31550',b'209',b'True',b'False',b'False',b'False',b'2013-03-09 09:49:44'
b'#\\u092e\\u093f\\u0936\\u094d\\u0930\\u093e \\u0915\\u0940 \\u091c\\u0917\\u0939 \\u0915\\u094b\\u0908 #\\u0916\\u093e\\u0928 \\u0939\\u094b\\u0924\\u093e \\u0924\\u094b \\u0905\\u092c\\u0924\\u0915 \\u091c\\u0947\\u0932 \\u092e\\u0947\\u0902 \\u0939\\u094b\\u0924\\u093e #\\u0926\\u0947\\u0936\\u0926\\u094d\\u0930\\u094b\\u0939 \\u0915\\u0947 \\u0907\\u0932\\u094d\\u091c\\u093e\\u092e \\u092e\\u0947\\u0902\\n#ArrestTerroristKapilMishra\\u2026 https://t.co/0A43G3LmwX',b'1232130951263555584',b'\\U0001f1ee\\U0001f1f3 Arshad AtoZ with RG \\U0001f1ee\\U0001f1f3',b'Arshad_Tweets',b'Kant Shahjahanpur UP India',"b'\\u0928 \\u092e\\u0948\\u0902 \\u0915\\u094b\\u0908 \\u092a\\u0924\\u094d\\u0930\\u0915\\u093e\\u0930 \\u0939\\u0942\\u0901 \\u0914\\u0930 \\u0928 \\u0939\\u0940 \\u0915\\u094b\\u0908 \\u0932\\u0947\\u0916\\u0915  \\u0939\\u093e\\u0901 \\u091c\\u093f\\u0902\\u0926\\u093e \\u0939\\u0942\\u0901 \\u0907\\u0938\\u0932\\u093f\\u090f \\u0906\\u0935\\u093e\\u091c \\u0909\\u0920\\u093e\\u0924\\u093e \\u0939\\u0942\\u0901 \\u0914\\u0930 \\u0906\\u0917\\u0947 \\u092d\\u0940 \\u0909\\u0920\\u093e\\u0924\\u093e \\u0930\\u0939\\u0942\\u0901\\u0917\\u093e \\u270d \\u270d\\ufe0f@INCIndia Supporter, Fan of @RahulGandhi & @priyankagandhi'",b'229',b'550',b'0',b'5006',b'5876',b'False',b'False',b'False',b'False',b'2011-06-24 18:01:56'
b'\\u092a\\u0936\\u094d\\u091a\\u093f\\u092e:\\u0917\\u0941\\u091c\\u0930\\u093e\\u0924- \\u0906\\u092c\\u093e\\u0926\\u0940 \\u092c\\u0922\\u093c\\u0940-\\u0939\\u093f\\u0902\\u0926\\u0941\\u0913\\u0902 \\u0938\\u0947 \\u092d\\u0930\\u0947 \\u091f\\u094d\\u0930\\u0947\\u0928 \\u0915\\u094b \\u092b\\u0942\\u0902\\u0915 \\u0926\\u0940\\n\\u092a\\u0942\\u0930\\u092c:\\u092c\\u0902\\u0917\\u093e\\u0932- \\u0906\\u092c\\u093e\\u0926\\u0940 \\u092c\\u0922\\u093c\\u0940-\\u0926\\u0941\\u0930\\u094d\\u0917\\u093e\\u092a\\u0942\\u091c\\u093e \\u092e\\u0928\\u093e\\u0928\\u093e \\u0926\\u0942\\u092d\\u0930 \\u0939\\u094b \\u0917\\u092f\\u093e\\n\\u0909\\u0924\\u094d\\u0924\\u0930\\u2026 https://t.co/wwI18shIcs',b'1232130944099856386',b'\\u0930\\u093e\\u0915\\u0947\\u0936 \\u0935\\u0930\\u094d\\u092e\\u093e',b'rakeshver101',b'',b'\\u091c\\u092f \\u092e\\u093e\\u0924\\u093e \\u0926\\u0940',b'28',b'138',b'0',b'136',b'684',b'False',b'False',b'True',b'False',b'2019-07-18 16:02:35'
b'@ashutosh83B \\u0938\\u0921\\u093c\\u0915 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u091c\\u093e\\u092e \\u0915\\u0940? \\u092a\\u0925\\u0930\\u093e\\u0935 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u0915\\u093f\\u092f\\u093e? \\u0906\\u0917\\u091c\\u0928\\u0940 \\u0915\\u093f\\u0938\\u0928\\u0947 \\u0915\\u0940 ? \\u0907\\u0928 \\u0938\\u0935\\u093e\\u0932\\u094b\\u0902 \\u0915\\u093e \\u090f\\u0915 \\u0939\\u0940 \\u091c\\u0935\\u093e\\u092c \\u0939\\u0948 #AntiCAAprotests \\u092b\\u093f\\u0930\\u2026 https://t.co/9BwVoYnr4c',b'1232130913686970369',b'Sangam Mishra',b'sangampmishra',b'Hindustaan',"b'\\U0001f1ee\\U0001f1f3\\u0915\\u094d\\u092f\\u093e \\u0939\\u093e\\u0930 \\u092e\\u0947\\u0902 \\u0915\\u094d\\u092f\\u093e \\u091c\\u0940\\u0924 \\u092e\\u0947\\u0902, \\u0915\\u093f\\u0902\\u091a\\u093f\\u0924 \\u0928\\u0939\\u0940 \\u092d\\u092f\\u092d\\u0940\\u0924 \\u092e\\u0948\\u0902\\u0964\\n\\u0915\\u0930\\u094d\\u0924\\u0935\\u094d\\u092f \\u092a\\u0925 \\u092a\\u0930 \\u091c\\u094b \\u092e\\u093f\\u0932\\u093e, \\u092f\\u0947 \\u092d\\u0940 \\u0938\\u0939\\u0940 \\u0935\\u094b \\u092d\\u0940 \\u0938\\u0939\\u0940\\U0001f1ee\\U0001f1f3\\nNationalist | Biker | Traveler | Tech Enthusiast|\\U0001f1ee\\U0001f1f3\\U0001f1ee\\U0001f1f3'",b'11020',b'574',b'17',b'11180',b'22002',b'False',b'False',b'True',b'False',b'2014-02-18 17:21:23'
b'New India!!\\n#DelhiBurning #DelhiPolice #Bhajanpura #ShameOnDelhiPolice #TrumpInIndia #AmitShahMustResign\\u2026 https://t.co/t8ebxTuKn6',b'1232130910700568578',b'Fun of Politics',b'fahadghaziabadi',b'',b'CEO of MyLife ||\\n\\u0939\\u094b\\u092e \\u0938\\u094d\\u0915\\u094d\\u0930\\u0940\\u0928 \\u092a\\u0930 \\u0936\\u093e\\u0928\\u0926\\u093e\\u0930 \\u091c\\u0935\\u093e\\u092c \\u0915\\u0947 \\u0932\\u093f\\u090f \\u092c\\u0938 \\u092e\\u0941\\u091d\\u0947 \\u092b\\u0949\\u0932\\u094b \\u0915\\u0930\\u0947\\u0902\\n|| Humanity First ||',b'36',b'521',b'0',b'1655',b'6424',b'False',b'False',b'True',b'False',b'2015-11-04 05:50:04'
b'#Shoot_the_muslim_terrorists\\n\\n#Shoot_the_muslim_terrorists \\n\\n#Shoot_the_muslim_terrorists\\u2026 https://t.co/tbwsfKFF5I',b'1232130902026838016',b'Dinesh Sagar',b'TheDineshSagar',b'',b'Very much',b'12',b'18',b'0',b'324',b'317',b'False',b'False',b'True',b'False',b'2020-01-29 15:41:31'
b'\\u0928\\u093e\\u092e \\u0928\\u093e\\u092e \\u0915\\u093e \\u092b\\u0930\\u094d\\u0915 \\u0939\\u0948 -\\n\\n@drkafeelkhan \\u092a\\u0930 NSA \\u0915\\u093e \\u0935\\u093e\\u0930 \\n@KapilMishra_IND \\u092a\\u0930 BJP \\u0915\\u093e \\u092a\\u094d\\u092f\\u093e\\u0930 \\n\\n#DelhiPolice #Maujpur\\u2026 https://t.co/sFYyxHEIcm',b'1232130890119221248',b'Bahujan Unity',b'BahujanUnity',b'',"b""We can't rule unless we unite....\\n\\nIITian, Software Professional & follower of Baba Saheb's & Kanshiram's ideology""",b'337',b'286',b'0',b'3666',b'2383',b'False',b'False',b'False',b'False',b'2014-05-10 06:57:35'
"b'\\u0938\\u092c\\u0915\\u0940 \\u0938\\u0902\\u0924\\u093e\\u0928\\u0947\\u0902 \\u0910\\u0938\\u0947 \\u0939\\u0901\\u0938\\u0924\\u0940-\\u0916\\u0947\\u0932\\u0924\\u0940, \\u0938\\u091c\\u0924\\u0940-\\u0938\\u0901\\u0935\\u0930\\u0924\\u0940 \\u0930\\u0939\\u0947\\u0902\\u0964 \\u0926\\u0902\\u0917\\u0947-\\u092b\\u0938\\u093e\\u0926 \\u092e\\u0947\\u0902 \\u0915\\u0941\\u091b \\u0928\\u0939\\u0940\\u0902 \\u0930\\u0916\\u093e, \\u0918\\u0930 \\u0909\\u091c\\u0921\\u093c \\u091c\\u093e\\u0924\\u0947 \\u0939\\u0948\\u0902\\u0964 @goodmorning \\u0964\\u2026 https://t.co/A39QX93iLF'",b'1232130885459120129',b'Mukesh Ambedkar \\U0001f30d',b'MukeshBeganaIYC',"b'Ujjain, India'","b'The Official Twitter Account Mukesh Begana Ambedkar,\\nDistrict Vice President INC IT Cell Ujjain Madhya Pradesh India.'",b'5506',b'4798',b'3',b'2991',b'7776',b'False',b'False',b'True',b'False',b'2015-04-17 14:30:40'
b'#GodMorningTuesday\\n#TrumpInIndia\\n#DelhiBurning \\nStop dowry india by Saint Rampal Ji Maharaj\\nMust Read #\\u091c\\u0940\\u0928\\u0947_\\u0915\\u093f_\\u0930\\u093e\\u0939\\u2026 https://t.co/aRrRGpPeU1',b'1232130862331912193',b'vishal baghel',b'vishal1993VI',b'C.G.INDIA',b'Indian Athletes',b'281',b'2169',b'0',b'6291',b'3901',b'False',b'False',b'True',b'False',b'2017-08-15 12:36:56'
"b'@DelhiPolice \\u0915\\u093e \\u0936\\u0930\\u094d\\u092e\\u0928\\u093e\\u0915 \\u0930\\u094b\\u0932 \\u091c\\u093e\\u0930\\u0940 \\u0939\\u0948, \\u0938\\u0941\\u092c\\u0939 \\u0938\\u0947 \\u091c\\u093e\\u092b\\u0930\\u093e\\u092c\\u093e\\u0926,\\u092e\\u094c\\u091c\\u092a\\u0941\\u0930 \\u092e\\u0947\\u0902 \\u092a\\u0924\\u094d\\u0925\\u0930\\u092c\\u093e\\u091c\\u093c\\u0940 \\u0939\\u094b \\u0930\\u0939\\u0940 \\u0939\\u0948 \\u0917\\u093e\\u0921\\u093c\\u093f\\u092f\\u093e\\u0901 \\u092b\\u0942\\u0902\\u0915\\u0940 \\u091c\\u093e \\u0930\\u0939\\u0940 \\u0939\\u0948 ,\\u090f\\u0915\\u2026 https://t.co/fYX2Vk4tP0'",b'1232130858737266688',b'Rohit Vishwakarma',b'RohitVishwakarm',"b'Noida, India'","b""Ex Dy. M.E. @India News, Managing Editor TV9Marathi, Editor AAJTAK, Sr. Exec. Editor IndiaTv, Anchor/Producer StarNews, RT's not endorsement, tweets personal.""",b'1514',b'582',b'8',b'2272',b'3814',b'False',b'False',b'False',b'False',b'2010-04-13 06:58:55'
"b'All the politicians are serving their own benefits,\\nKejriwal- We are continuously active on twitter. ( As delhi pol\\u2026 https://t.co/KyPHEur6Wp'",b'1232130854547312640',b'Himanshu Baghel',b'_HimanshuB',"b'Ghaziabad, India'",b'Mechanical Engineering @KIET Group Of Institutions Gzb.',b'30',b'189',b'0',b'22',b'34',b'False',b'False',b'True',b'False',b'2015-07-15 09:44:24'
b'\\u092c\\u0938 \\u0926\\u094b \\u0928\\u0947\\u0924\\u093e\\u0913\\u0902 \\u0915\\u0940 \\u091c\\u0917\\u0939 \\u092c\\u0926\\u0932\\u0940 \\u0939\\u0948 \\u0914\\u0930 2002 \\u0915\\u0940 \\u091c\\u0917\\u0939 2020 \\u0939\\u094b \\u0917\\u092f\\u093e \\u092c\\u093e\\u0915\\u0940 \\u092b\\u093f\\u0926\\u0930\\u0924 \\u0924\\u094b \\u0935\\u0939\\u0940\\u0902 \\u0939\\u0948 #DelhiBurning https://t.co/EB2aoOPBSM',b'1232130850940162048',b'\\u0906\\u091c\\u093e\\u0926',b'GandhianIDEA',"b'Delhi, India'",b'liberal\\n\\u0915\\u094d\\u092f\\u093e \\u0915\\u0930\\u0947\\u0917\\u093e \\u092a\\u0924\\u093e \\u0915\\u0930 \\u0915\\u0947',b'67',b'354',b'0',b'824',b'1233',b'False',b'False',b'True',b'False',b'2019-09-04 18:43:45'
b'\\u0926\\u0947\\u0936 \\u0938\\u0947 \\u092c\\u0921\\u093c\\u093e \\u0915\\u094b\\u0908 \\u0927\\u0930\\u094d\\u092e \\u0928\\u0939\\u0940\\u0902\\n#CAA_NRC_support \\n#DelhiBurning https://t.co/UBnbMclYtv',b'1232130846535995392',b'INDIAN \\U0001f1ee\\U0001f1f3',b'dharmdevgodara',b'',b'Girls  are Pearls',b'615',b'1808',b'2',b'1946',b'1130',b'False',b'False',b'True',b'False',b'2015-01-26 08:08:10'
"b'When the protector turns perpetrator, where do we go?!\\nShame on @DelhiPolice for disrespecting the value of human l\\u2026 https://t.co/fbJUCaFvhO'",b'1232130822171435009',b'Shaheen Bagh Official',b'Shaheenbaghoff1',"b'New Delhi, India'","b'Shaheen Bagh is the emblem of resistance for the nation against the unconstitutional law CAA, and NRC-NPR. \\nFollow the official account, stand in solidarity!'",b'27269',b'0',b'22',b'239',b'59',b'False',b'False',b'True',b'False',b'2020-01-05 13:22:18'
