"b'@HomeBuilderTex @ABC ""Good job, Tex!"" #IvankaTrump \\U0001f1fa\\U0001f1f8 https://t.co/uDYD3dkU2W'",b'1229205169914568704',b'ChairmanYou',b'ComradeYou',"b'Los Angeles, CA'",b'#TheResistance \\U0001f1fa\\U0001f1f8 #Resist \\U0001f1fa\\U0001f1f8 #MOT',b'1057',b'1561',b'0',b'4953',b'2934',b'False',b'False',b'True',b'False',b'2019-03-23 20:20:12'
b'@andylassner This is one of the most offensive things I have seen this year. @andylassner #IvankaTrump',b'1229179955902324737',b'Paul Fleming',b'BrokenLaughter1',b'',b'Paul edits the https://t.co/12oUZZti2F blog.',b'245',b'1535',b'0',b'1782',b'6335',b'False',b'False',b'True',b'False',b'2015-12-22 17:39:00'
b'Is #China Trying to Silence \\U0001f507\\U0001f507 the #Workers Who Make #IvankaTrump\\u2019s Apparel? \\U0001f60e \\n\\nvia @thenation \\n\\nhttps://t.co/7oltUyrTpP',b'1229178743194697728',b'H. A. COBB',b'hacobbgop',"b'#FREMONT, CA    USA'","b'Original GOP founder #JohnFREMONT favored justice for all, and opportunity for all, and the general welfare of all.  Not just for the 1% of the 1% of the 1%.'",b'839',b'3989',b'17',b'1989',b'846',b'False',b'False',b'True',b'False',b'2013-08-07 15:37:25'
b'#IvankaTrump https://t.co/SEjFD0JFmn',b'1229177171169742851',b'Hasan',b'Hasan99142885',b'',b'Ya\\u015f 39',b'10',b'215',b'0',b'456',b'683',b'False',b'False',b'True',b'False',b'2018-07-14 18:12:48'
"b'#IvankaTrump...daughter of #impeached4life President @realDonaldTrump, channels Paulie Walnuts Gualtieri in a silly\\u2026 https://t.co/MuIUBAtwg8'",b'1229174854189899776',b'Dr. Karen P. Stevens',b'NursePub',b'United States',"b'PhD, Nurse Scientist, Writer. Jonas Scholar. Compassion/Attitude studies. Nurse Admin., Faculty. Evolving human. Resister. Opinions=mine. Mom and Gramma.'",b'1644',b'3656',b'17',b'2162',b'2669',b'False',b'False',b'False',b'False',b'2016-12-14 22:24:11'
b'A mannequin that moves.  What will Trump think of next?\\nNice recycled curtains.  Or was it a silver anniversary tab\\u2026 https://t.co/9arRhMS40V',b'1229174565684695040',b'1984 Redux \\U0001f30a \\U0001f30a \\U0001f30a',b'CostaRicaLiving',"b'Arizona, USA'","b'Liberal, humanitarian, feminist, MN native, ex ex-pat. Love animals, reading and watching foreign films.'",b'1022',b'964',b'5',b'31472',b'63988',b'False',b'False',b'False',b'False',b'2008-07-22 04:11:52'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @MichellesTreas #poshmark #fashion\\u2026 https://t.co/RFnKmdEc0y""",b'1229171445382533120',b'Kathleen Noel',b'Kathlee32984433',b'',b'',b'5',b'78',b'0',b'182',b'18',b'False',b'False',b'True',b'False',b'2019-08-16 02:00:21'
b'Yep \\U0001f44d\\U0001f3ff #IvankaTrump https://t.co/PqJTbSr7NT',b'1229171086979366914',b'Elizabeth',b'lizabeth916',b'European',b'wife/mum/love \\U0001f30d\\U0001f436yogi/soap maker sometime gym goer/hate trump/ on the quest for the perfect cup of coffee \\u2615\\ufe0f\\U0001f6ablists NO DM\\u2019S',b'448',b'659',b'1',b'2112',b'2522',b'False',b'False',b'True',b'False',b'2012-06-04 21:45:57'
"b""So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset\\u2026 https://t.co/fkhuFj1U8Y""",b'1229170194045530113',b'Eddy Boche\\xae\\xa9',b'EDDYB0CH3',"b'Los Angeles, CA'","b'Eddy Boche\\xae\\xa9 is a Multidimensional Independent Artist, songwriter,  Executive Producer and International Businessman. The Deputy of the WWW. The God MC'",b'833',b'1429',b'12',b'9100',b'110',b'False',b'False',b'False',b'False',b'2009-12-07 19:18:27'
"b""America's unelected Princess #IvankaTrump pays tribute to the #SaudiArabia monarchy. Nice. https://t.co/uQiUWzt2bz""",b'1229169895734226944',b'Don von Ribbentrop',b'AgentOrangeDDR',b'DDR - NYC - DC (ja & \\u0434\\u0430)',"b'Ex-Stasi, now FSB. Deep Cover Agent Pretending to be Donald Trump'",b'1940',b'1469',b'14',b'78037',b'562446',b'False',b'False',b'False',b'False',b'2017-01-12 14:43:13'
b'@ElizabethEThorp Pure Stepford posing as meaningful. \\nPure grifter. #IvankaTrump',b'1229164728636674049',b'Maya \\U0001f38f',b'scentoflilacs',b'',"b'New Yorker. Fascinated by everything, maybe. Wabi-sabi. Cultural nomad. Definitely Anti-Trump'",b'759',b'1549',b'8',b'66271',b'2973',b'False',b'False',b'False',b'False',b'2011-06-02 20:39:47'
b'@thekjohnston Klan Rally Barbie: World Traveler\\n#IvankaTrump',b'1229163680270553088',b'Double A',b'doubleATrailFly',b'Somewhere',"b'If your ""freedoms"" infringe on the freedoms of others, you\'re full of shit.'",b'32',b'184',b'0',b'11689',b'8648',b'False',b'False',b'True',b'False',b'2019-09-11 23:23:08'
b'@ProudResister @IvankaTrump #IvankaUnwanted #Ivanka #IvankaTrump https://t.co/PN3JWvERJ3',b'1229158649651703808',b'Raluca Florea',b'Raluca_Florea',b'Florida',"b'I love animals, I am advocating for the most misunderstood breed- PitBulls! #rescue #foster #savealife #TeamZay #Florida #endBSL #pitbulls #votebluenomatterwho'",b'5419',b'4289',b'286',b'318418',b'26715',b'False',b'False',b'False',b'False',b'2015-01-18 04:16:20'
"b""#IvankaTrump in #AbuDhabi:\\n'Women's Global Development and Prosperity Initiative...The proposed legislation would m\\u2026 https://t.co/5APsk57VD2""",b'1229158456172507136',b'...mercy rejoiceth against judgment.',b'WendyEJohnson',b'United States of America',b'Christian ~ Excellent Bible study at Thru The Bible with Dr J Vernon McGee ~ currently in the book of JAMES',b'343',b'501',b'16',b'28939',b'7644',b'False',b'False',b'False',b'False',b'2010-06-15 21:11:19'
"b'The stunning beauty of @IvankaTrump is almost ethereal.\\n\\nAmerica cannot get a more brilliant, beautiful and patriot\\u2026 https://t.co/EXROVelRtS'",b'1229155216655880192',b'Chino Strabler',b'Motosickle',b'United States',b'Groupthink is a circle jerk with no ringleader',b'86',b'607',b'1',b'6708',b'1233',b'False',b'False',b'False',b'False',b'2014-10-02 20:47:12'
b'Hey #IvankaTrump what are #American #taxpayer dollars paying for this time that will serve you? The least you can d\\u2026 https://t.co/gMe5P0AaKh',b'1229152658226925570',b'cathy moore',b'cathymoore2',b'United States',"b""Photographer -- old man & young girl date, they decide to marry: it's their business -they want great wedding photographs: it's MY BUSINESS!""",b'212',b'788',b'6',b'27607',b'3250',b'False',b'False',b'False',b'False',b'2011-02-18 03:54:33'
b'@CwsltdDrew @geoff_buxcey Why would you even say that.  What Geoff said was in really bad taste.  Look up other Jef\\u2026 https://t.co/9XmIFYmVE1',b'1229150450877857792',b'Sally Elizabeth Loewen\\U0001f340\\U0001f993\\U0001f308\\U0001f1e8\\U0001f1e6\\u2764\\ufe0f\\U0001f1fa\\U0001f1f8\\U0001f414\\U0001f689\\U0001f695\\U0001f5fd',b'sally_loewen',"b'Canada, '",b'Skull fracture in occipital bone causing a cranial CSF leak. Was in an MVA 10 years ago. Skull fracture was missed. Ontario may not be able to fix me.',b'77',b'1011',b'0',b'1115',b'335',b'False',b'False',b'True',b'False',b'2019-05-19 12:43:16'
b'\\u0627\\u0644\\u0633\\u064a\\u062f\\u0629 \\u0625\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627 \\u062a\\u0631\\u0627\\u0645\\u0628 \\u062a\\u0634\\u064a\\u062f \\u0628\\u062c\\u0647\\u0648\\u062f \\u0627\\u0644\\u0645\\u063a\\u0631\\u0628 \\u0641\\u064a \\u0645\\u062c\\u0627\\u0644 \\u062a\\u0645\\u0643\\u064a\\u0646 \\u0627\\u0644\\u0645\\u0631\\u0623\\u0629\\nhttps://t.co/qKSbnxseLb\\n\\n\\xc9mancipation \\xe9conomique des fe\\u2026 https://t.co/3t70AsAK4n',b'1229149492353622017',b'Agence MAP',b'MAP_Information',"b'Rabat, Maroc'","b'Fond\\xe9e en 1959, la MAP est l\\u2019agence nationale marocaine de presse. Elle compte plus de 300 journalistes et correspondants au Maroc et \\xe0 travers le monde.'",b'107034',b'165',b'335',b'34745',b'111',b'True',b'False',b'False',b'False',b'2012-09-06 15:14:22'
b'Ha!\\n#IvankaTrump \\n#TrumpCrimeFamily https://t.co/Op6wNrqSj5 https://t.co/ao09zjdlXS',b'1229149282118381569',b'Victor Estrada',b'VictorEstrada20',b'Long Beach',"b'I know things and like to express them which is so different from others, maybe...'",b'1443',b'1800',b'4',b'34591',b'35527',b'False',b'False',b'True',b'False',b'2011-10-04 18:31:58'
b'@andylassner It\\u2019s like some sort of BAD infomercial for the FAILED #IvankaTrump clothing line #GrifterBarbie',b'1229147952750514176',b'G-Man',b'gkgguy',b'',b'',b'556',b'1130',b'21',b'55203',b'57659',b'False',b'False',b'True',b'False',b'2009-09-22 00:09:42'
b'#Cult45 #IvankaTrump https://t.co/WeN8ngxbxe',b'1229147729617657856',b'Dan S #HealthcareVoter',b'Dsquared75',b'Arlington VA',"b'Public policy& history wonk, progressive Virginia Democrat, civil& disability rights advocate, Mets fan. Views=mine alone'",b'2784',b'5001',b'119',b'140519',b'219758',b'False',b'False',b'False',b'False',b'2010-08-28 05:30:11'
"b""I finally figured out who #IvankaTrump reminds me of. It's really uncanny. \\n\\nhttps://t.co/pCoJjJBDmB""",b'1229146507154198528',b'Yellow Dog Jeff \\U0001f1fa\\U0001f1f8\\U0001f3f3\\ufe0f\\u200d\\U0001f308\\U0001f3f4\\u200d\\u2620\\ufe0f',b'FishingJeff2',"b'South Carolina, USA'",b'Proud Southern Democrat #VoteBlueNoMatterWho2020\\n#Resist\\n#LindseyGrahamNeedsToGo\\n#SouthCarolinaDemocrat',b'1275',b'2216',b'1',b'283',b'490',b'False',b'False',b'True',b'False',b'2020-02-10 20:53:08'
"b""@andylassner @EVargasTV Leave it to #IvankaTrump to play sex kitten in a mosque- bet she's gone commando under all those robes.""",b'1229144810881073152',b'Marilyn Kushner',b'LUVfromMarilyn',b'',b'My roses are pruned & my lambs ears are coming back to life so all is right in my garden world!',b'21',b'140',b'1',b'1188',b'2298',b'False',b'False',b'True',b'False',b'2012-05-06 02:58:38'
b'\\u0647\\u0644 \\u0633\\u062a\\u062f\\u062e\\u0644 #\\u0627\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627_\\u062a\\u0631\\u0627\\u0645\\u0628\\n\\u0642\\u0644\\u0648\\u0628 \\u0627\\u0644\\u062e\\u0644\\u064a\\u062c\\u064a\\u064a\\u0646 \\u0645\\u062b\\u0644\\u0645\\u0627 \\u062f\\u062e\\u0644\\u062a \\u0627\\u0644\\u0623\\u0645\\u064a\\u0631\\u0629 \\u0627\\u0644\\u0631\\u0627\\u062d\\u0644\\u0629 #\\u062f\\u064a\\u0627\\u0646\\u0627 \\u0642\\u0644\\u0648\\u0628\\u0647\\u0645\\u061f\\n\\n@IvankaTrump #IvankaTrump',b'1229144470421110784',b'\\u0623\\u062d\\u0645\\u062f \\u0639\\u064a\\u0633\\u0649 \\u0628\\u0646 \\u062d\\u0627\\u0631\\u0628 \\u0627\\u0644\\u0641\\u0644\\u0627\\u062d\\u064a',b'ALFALAHI',"b'Dubai, UAE'",b'\\u200f\\u200f\\u200f\\u200f\\u0623\\u0646\\u064e\\u0639\\u064e\\u0645 \\u0628\\u0650\\u0627\\u0644\\u0652\\u0639\\u064e\\u064a\\u0652\\u0634 \\u0641\\u0650\\u064a \\u0648\\u064e\\u0637\\u064e\\u0646\\u064d { \\u062f\\u0650\\u064a\\u0646\\u0647 \\u0627\\u0644\\u0625\\u0650\\u0633\\u0652\\u0644\\u0627\\u0645 \\u0647\\u064e\\u062f\\u0650\\u064a\\u0651\\u064e\\u0629 \\u0627\\u0644\\u0652\\u0642\\u064f\\u0631\\u0652\\u0622\\u0646}\\n\\n \\n \\n\\u200f\\u200f\\u200f\\u200f(\\u200f\\u200f\\u200f\\u200f\\u200f\\u0644\\u0627 \\u062a\\u064e\\u062a\\u064e\\u0648\\u064e\\u0642\\u0651\\u064e\\u0641 \\u0639\\u064e\\u0646 \\u0627\\u0644\\u0652\\u0639\\u064e\\u0637\\u064e\\u0627\\u0621 \\u062d\\u064e\\u062a\\u0651\\u064e\\u0649 \\u0644\\u064e\\u0627 \\u062a\\u064e\\u0645\\u0652\\u0646\\u064e\\u0639\\u064f \\u0627\\u0644\\u0645\\u0642\\u062f\\u0631\\u0629)',b'2529',b'1479',b'7',b'8097',b'9161',b'False',b'False',b'False',b'False',b'2009-03-02 04:34:30'
"b'#IvankaTrump I admire her beauty , but I think she mimics the mother of royalty, mother of the beauty .  #ladydiana\\u2026 https://t.co/ARWlZ0JjGZ'",b'1229143906639630336',b'Al-Hanoof',b'2030girl1',b'',"b'I\\u2019m a natural born leader who is always eager to learn something new, president of @Thanayakku at @kku_dent \\U0001f4cd'",b'18',b'73',b'0',b'53',b'13',b'False',b'False',b'True',b'False',b'2020-02-09 08:50:40'
b'#repost averageconcernedcitizen\\n\\u30fb\\u30fb\\u30fb\\n#mitchmcconnell #republican #trump #foxnews #mikepence #lindseygraham\\u2026 https://t.co/cgoE0sqLB8',b'1229143556692094982',b'Nick Mantas',b'MantasNick',b'New Jersey',"b'Foreign born and educated, naturalized US citizen, progressive, animal lover and vehemently anti authoritarian of any persuasion'",b'404',b'1595',b'1',b'36469',b'24735',b'False',b'False',b'True',b'False',b'2012-04-14 12:41:11'
b'And a fake billionaire for that! #repost averageconcernedcitizen\\n\\u30fb\\u30fb\\u30fb\\n#mitchmcconnell #republican #trump #foxnews\\u2026 https://t.co/dOXoy0cy5e',b'1229140770399150080',b'Nick Mantas',b'MantasNick',b'New Jersey',"b'Foreign born and educated, naturalized US citizen, progressive, animal lover and vehemently anti authoritarian of any persuasion'",b'404',b'1595',b'1',b'36469',b'24735',b'False',b'False',b'True',b'False',b'2012-04-14 12:41:11'
b'Westworld: Sephora #IvankaTrump https://t.co/gMcyIfBS9H',b'1229139471431393280',b'C. Rafael Parish',b'parishiner',b'Los Angeles',b'a master of mistakes',b'134',b'159',b'2',b'8762',b'3349',b'False',b'False',b'True',b'False',b'2009-02-16 22:34:21'
"b'@psychdr100 @nicolejames And, her step-mother, Melanie, USFL, lied under oath:  https://t.co/RlXVKKwiR6  Deception\\u2026 https://t.co/oLKsNRTr3V'",b'1229138388860555265',b'Sandi Ferguson',b'SandiFerguson7',"b'San Diego, CA'","b'ACTIVE (yoga/tennis/cyclying/golf/water & ALL sports) arts, travel, fashion, family, friends, musical concerts, Interior dsgn, great wine & gourmet cooking!'",b'199',b'1174',b'1',b'5922',b'4698',b'False',b'False',b'True',b'False',b'2016-04-07 01:23:49'
b'#IvankaTrump https://t.co/znZB0949RL',b'1229137939264868358',b'Xixxioux',b'xixxioux',"b'Toronto, Ontario'",b'',b'329',b'1891',b'0',b'20587',b'41967',b'False',b'False',b'True',b'False',b'2009-03-14 20:55:40'
b'#\\u0627\\u064a\\u0641\\u0627\\u0646\\u0643\\u0627_\\u062a\\u0631\\u0627\\u0645\\u0628 \\u062a\\u0632\\u0648\\u0631 #\\u062c\\u0627\\u0645\\u0639_\\u0627\\u0644\\u0634\\u064a\\u062e_\\u0632\\u0627\\u064a\\u062f \\u0648\\u0645\\u062a\\u062d\\u0641 \\u0627\\u0644\\u0644\\u0648\\u0641\\u0631 \\u0641\\u064a #\\u0623\\u0628\\u0648\\u0638\\u0628\\u064a \\nhttps://t.co/bO0KJLLuxg\\n#IvankaTrump \\n#AbuDhabi https://t.co/lA6tR3NYgb',b'1229134912269275137',b'nbnlebanon',b'nbntweets',b'Lebanon',b'',b'21066',b'259',b'66',b'79167',b'8',b'True',b'False',b'False',b'False',b'2012-11-16 14:03:31'
b'@DanWantsFreedom #IvankaTrump',b'1229134862109405184',b'Denvertrainpicker',b'303trainpicker',"b'Colorado, USA'",b'\\u274c #patriot #country #343 #neverforget #rfb #getonboard #conservative \\u274c #45for2',b'8017',b'8301',b'10',b'17809',b'21643',b'False',b'False',b'True',b'False',b'2016-10-18 02:30:54'
b'@andylassner #IvankaTrump https://t.co/iibkz8uDZz',b'1229132522640039936',b'Julyte\\U0001f44a\\U0001f1fa\\U0001f1f8\\U0001f30f\\U0001f499',b'julytetoo',b'Michigan',"b'Advocate for fairness, justice, honesty and this planet\\U0001f496\\U0001f33f #resist #notmypresident #truthmatters #VoteBlueNoMatterWho  \\U0001f1fa\\U0001f1f8\\U0001f44a\\U0001f499   \\U0001f6abDMs'",b'7705',b'7704',b'8',b'10724',b'76294',b'False',b'False',b'False',b'False',b'2009-06-05 22:25:29'
b'Very ironic to find a #womansconference in one of the more repressive nations that #women live in.\\nAn irony no doub\\u2026 https://t.co/luf3BUAXEM',b'1229131526790467584',b'12 Mile Geo',b'12MileGeo',b'Portland and other locations.',b'Biogeographer by training. Cartographer and IT serf for work.\\nMad Scientist is just a hobby.\\nThese are things that interest me.',b'485',b'93',b'909',b'131959',b'79918',b'False',b'False',b'True',b'False',b'2013-05-12 16:48:00'
"b'@Phoenixwmn Hmmm, admonishing us liberals for not embracing \\u2018the beautiful things\\u2019 her father could do if we weren\\u2019\\u2026 https://t.co/fC35WAhtu2'",b'1229131157129891840',b'Cynthia Dixon',b'cynthetta',"b'Las Colinas/Irving, Texas'","b""Child of the 60's; Jr-Sr, AF brat, political junkie-wordsmith-philomath, liberal. Texylvanian. Get back w/your MAGA sh*t! #BlueDot #AFSCME #TheResistance #MeToo""",b'1902',b'1869',b'110',b'102117',b'83969',b'False',b'False',b'False',b'False',b'2009-03-01 17:00:44'
"b""The lizard princess is a national embarrassment. #IvankaTrump definitely doesn't represent the USA.  Trump's are li\\u2026 https://t.co/ZC40qVnbZ7""",b'1229130648524185600',b'Nichole',b'izzy6968',b'',"b""I am just a mom who loves her family. Thanks to 45 I'm a activist!Love animals,love my country. Go Hawks!! 45 is so not my President! #IAmWithHer #TheResistance""",b'1494',b'1933',b'25',b'27937',b'36482',b'False',b'False',b'True',b'False',b'2016-11-17 01:59:58'
"b""Gee, that's a good question...\\U0001f914 #IvankaTrump is a security risk to the US. The people she's dealing with are highly\\u2026 https://t.co/KvIBIwIB1g""",b'1229129647108976641',b'Aaron',b'AaronJo52552453',"b'Richland, WA'","b'Still trying to be a Moderate. Failing badly, and leaning ever more left. Trump and Republican Party is pushing me over...'",b'26',b'80',b'0',b'2627',b'2703',b'False',b'False',b'True',b'False',b'2018-07-05 17:44:07'
b'Her &amp; #JaredKushner are just creepy weird....  maybe aliens visiting &amp; will soon vanish. #IvankaTrump \\U0001f44e https://t.co/Ks7hP0Pp3w',b'1229126176901345280',b'Mark B',b'Maro2Bear',"b'Glenn Dale, MD'","b'Outdoorsman. Kayaker. Fresh Air & Wilderness. \\u201cWhat good is the warmth of summer, without the cold of winter to give it sweetness?\\u201d John Steinbeck'",b'214',b'1097',b'2',b'18264',b'63',b'False',b'False',b'True',b'False',b'2016-01-06 17:50:06'
"b'""Better to remain silent and thought to be a fool than to speak and remove all doubt."" #NepotismBarbie #IvankaTrump https://t.co/Ye54IcRDkx'",b'1229125016404365312',b'murray b',b'murrayb560sl',"b'Pacific Northwest, BC Canada'","b'Rocket Scientist, retired. \\U0001f1e8\\U0001f1e6\\U0001f30e\\U0001f30a\\U0001f575\\ufe0f\\u200d\\u2642\\ufe0f#TheResistance'",b'11412',b'12547',b'11',b'58111',b'212058',b'False',b'False',b'False',b'False',b'2011-03-10 17:12:47'
"b'In today\\u2019s America where Ivanka Trump behaves like she was First Lady, what would stop her from running ( and winni\\u2026 https://t.co/aWRNBo7yNz'",b'1229124957239726081',b'PinkTaxiRunner',b'PinkTaxiRunner',"b'Dubai, United Arab Emirates'",b'',b'1005',b'1265',b'7',b'12070',b'18732',b'False',b'False',b'True',b'False',b'2019-10-30 10:48:55'
b'@twmentality1 What fresh hell is this!? Crime family grifter fluffing around for the cameras on taxpayer dollars!! #IvankaTrump #criminals',b'1229124228642832384',b'\\U0001f4a7STaylor',b'staylor2612',b'OZ',b'Truth in media; Not propaganda. People before profit. Environment before greed. A healthy environment is a human right. #GlobalCitizen #Activism #Resistance',b'516',b'1563',b'47',b'25019',b'19546',b'False',b'False',b'True',b'False',b'2009-04-12 01:15:32'
b'Hey everybody!  More #IvankaTrump photo opps from the #GrifterBarbie! https://t.co/KzO5SvtQMX',b'1229123990511206400',b'do no harm',b'bizduster',b'',b'',b'108',b'300',b'3',b'31251',b'28516',b'False',b'False',b'False',b'False',b'2016-08-06 19:32:10'
b'Ivanka is visiting countries thet she and her father have business relationships with. The American taxpayers are f\\u2026 https://t.co/p7euLWuvaO',b'1229123726001811456',b'rowislee',b'rowandalee1',b'',b'',b'52',b'128',b'2',b'8856',b'11277',b'False',b'False',b'True',b'False',b'2012-11-19 04:30:33'
b'@shossy2 What a joke. Taxpayer funded. Trumps are a corrupt crime family. #IvankaTrump Undeserved position. Grifter.',b'1229123086215086080',b'\\U0001f4a7STaylor',b'staylor2612',b'OZ',b'Truth in media; Not propaganda. People before profit. Environment before greed. A healthy environment is a human right. #GlobalCitizen #Activism #Resistance',b'516',b'1563',b'47',b'25019',b'19546',b'False',b'False',b'True',b'False',b'2009-04-12 01:15:32'
